address_id,zip_code,country,city,street
1,30266,Japan,Okunoya,0623 Hermina Parkway
2,46465,Indonesia,Kapunduk,41480 Esker Way
3,646728,Lebanon,Djounie,10298 Farwell Pass
4,500766,China,Kesheng,3075 Butterfield Alley
5,637388,United States,Pittsburgh,77614 Welch Trail
6,752540,Poland,Garbów,9192 Vernon Plaza
7,149477,Armenia,Argel,85299 Grover Alley
8,27131,Indonesia,Bitobe,93246 Clarendon Center
9,815479,China,Yanglin,767 Fremont Point
10,525786,Iran,Takāb,564 Forster Way
11,854380,China,Yanling,288 1st Junction
12,561529,China,Sanjiang,49 Pepper Wood Park
13,595044,Indonesia,Ongabelen,72 Transport Plaza
14,94892,Canada,Brampton,27736 Colorado Plaza
15,499910,Portugal,Cachadinha,4 Duke Point
16,155002,Malaysia,Kuala Terengganu,530 South Alley
17,701821,Egypt,Al Ḩawāmidīyah,59 Ridge Oak Trail
18,402335,Russia,Tyrnyauz,981 Algoma Junction
19,963208,China,Jiegan,787 Prentice Road
20,365956,Latvia,Ādaži,5182 Grayhawk Crossing
21,943372,Estonia,Mustvee,02 Huxley Point
22,508863,France,Massy,264 Utah Drive
23,899616,Philippines,Bontoc,8 Gina Plaza
24,867064,Chad,Bébédja,43 Sloan Alley
25,994857,Honduras,Tocoa,26 International Road
26,659457,Colombia,Nariño,68081 Dawn Lane
27,830816,Brazil,Araranguá,34653 Mendota Park
28,814614,New Zealand,Foxton,0488 Manley Parkway
29,629080,Peru,Yanac,768 Nova Crossing
30,93583,China,Yingyang,69002 Thompson Point
31,632733,China,Zhourui,9695 Cherokee Circle
32,828080,Finland,Tampere,837 Thompson Place
33,829686,Ivory Coast,Tanda,19613 Hintze Pass
34,678639,Canada,Calmar,634 Fulton Avenue
35,344455,China,Hongshunli,545 Almo Terrace
36,292034,China,Xiaoruo,678 Eggendart Center
37,66647,Cameroon,Kumba,79998 Welch Alley
38,29122,China,Wushan,31 Golden Leaf Circle
39,141068,Iran,Kāshmar,8636 Dottie Way
40,244235,China,Zhenyuan,816 Red Cloud Place
41,460409,South Korea,Samsan,906 Mallard Drive
42,694776,Indonesia,Berbek,65 Kensington Crossing
43,738700,Argentina,San Pedro,94688 Jay Street
44,140462,Kazakhstan,Shashūbay,549 Shasta Plaza
45,556851,China,Datuan,1303 Briar Crest Way
46,769775,Venezuela,San Juan de Manapiare,7 Dakota Way
47,255838,Poland,Mikołów,67 Hooker Court
48,694767,Panama,Quebrada Canoa,06 Marcy Terrace
49,555787,China,Henglu,82 Old Shore Place
50,196714,Portugal,Ourentã,67 Alpine Crossing
51,674178,Philippines,Conel,0 Sugar Avenue
52,772712,Macedonia,Kochani,06242 Onsgard Plaza
53,339918,Russia,Birobidzhan,5730 Caliangt Street
54,441290,China,Baishui,68402 Laurel Trail
55,143377,Ireland,Cluain Meala,9235 Rowland Place
56,148432,China,Tangtu,22821 Carberry Trail
57,131427,Brazil,Irati,8465 Kipling Way
58,986751,Japan,Miyazaki-shi,7 Northridge Trail
59,341376,Indonesia,Sumuragung,5 Brown Junction
60,107916,Sweden,Sundsvall,4661 Oak Park
61,376130,Russia,Chupa,0 Golf Parkway
62,785552,China,Shimen,7143 Badeau Alley
63,808783,China,Yunping,38 Manley Lane
64,274888,Indonesia,Tlogowungu,85 Rusk Lane
65,975360,French Polynesia,Hitiaa,70413 Arrowood Way
66,187607,Russia,Konosha,7633 Kingsford Pass
67,228629,China,Panshi,970 7th Lane
68,826259,Syria,Dhībīn,17708 Mockingbird Park
69,919800,Greece,Vári,73 Nelson Place
70,337973,China,Wangmo,8622 Gale Crossing
71,519271,China,Jiaowei,51 Red Cloud Parkway
72,296335,China,Dangmu,633 Marquette Parkway
73,503016,China,Chengzhong,23 Kinsman Street
74,14875,Portugal,Verdizela,06 Scott Parkway
75,824443,China,Hongchang,5 Arkansas Parkway
76,554815,France,Marseille,82047 Butterfield Alley
77,497192,Sweden,Tibro,0713 Norway Maple Alley
