customer_id,full_name,gender,birthday,phone_number,cell_phone,email,address_id
18258VTFF,Derward Helder,M,2003-01-21,918-676-2536,3922675932,dhelder0@dyndns.org,5
08481WBBK,Julee Halkyard,F,1962-02-18,286-262-9943,5745510833,jhalkyard1@fda.gov,7
94303JWTD,Joeann Pfeuffer,F,1994-05-07,718-818-0133,,,12
93214WTZW,Cyndi Grinsted,F,1995-07-09,874-873-8835,2958634349,cgrinsted3@ibm.com,14
87612BOEV,Marni MacCall,F,1948-04-22,838-313-2791,1247221643,mmaccall4@squarespace.com,19
03552MMGN,Staford Lindeman,M,1980-07-18,912-160-1373,8828699739,slindeman5@npr.org,20
92623KQZR,Jere Ingarfill,M,1963-03-09,619-412-5184,4682707587,jingarfill6@wikipedia.org,23
67383HZVX,Chic Measor,M,1971-07-22,799-383-6834,4128882184,cmeasor7@wikia.com,26
42438YADB,Conroy Di Ruggiero,M,1949-12-13,294-383-1799,6916394849,cdi8@timesonline.co.uk,30
82767MXXC,Bob Ravelus,M,1980-09-16,589-689-2808,1402153844,bravelus9@zdnet.com,31
76649BVYS,Happy Deeks,F,1967-09-27,114-293-1852,4378385600,hdeeksa@freewebs.com,32
29615DGPL,Michaeline Polon,F,1987-07-21,237-653-2222,2926849918,mpolonb@canalblog.com,33
87934XNJG,Uta Buckenham,F,1968-03-20,756-275-9893,4236410341,ubuckenhamc@home.pl,34
25935HNYY,Fayre Cantos,F,1986-07-17,187-365-9229,4959614635,fcantosd@canalblog.com,40
93591RHQB,Dino MacLure,M,1988-10-21,374-216-6166,8625227428,dmacluree@bbc.co.uk,42
27271BNGN,Jdavie Ruegg,M,1993-12-26,739-683-7713,,,44
38630HZNZ,Bird Redfield,F,1953-07-25,867-414-6820,1175802507,bredfieldg@epa.gov,45
68582MPTR,Mada Craigmyle,F,1978-11-29,808-891-9739,2636477766,mcraigmyleh@nhs.uk,47
81978JEUU,Marta Lanegran,F,1995-06-01,650-366-1084,1552937309,mlanegrani@archive.org,51
94211GXXU,Wylie Rocco,M,1993-03-27,203-663-9272,8138108733,wroccoj@vk.com,53
80733GLAN,Israel Gainsbury,M,1964-12-06,730-117-9058,7745081727,igainsburyk@ask.com,54
98552YSEK,Perry Fulloway,F,1961-09-28,487-653-8267,7733367687,pfullowayl@adobe.com,57
02078EQQT,Garrard Gimbrett,M,1979-07-21,715-677-0891,,,60
95531TBRP,Erie Rowes,M,1984-06-27,487-570-1278,6109290689,erowesn@typepad.com,64
