license_number,license_plate
1459716828,9Z512
58959772,727 JGD
4528930905,2LU 363
1466699002,CFZ-382
8338410957,072 4QK
6997303792,BJ6 Y7V
5081036892,566 JNB
420783266,QSH-5559
6103775793,759-HKD
2429545014,FQS4118
4676274503,0U 0335S
8088856438,QDM-2037
3930469445,RIU 090
1772392824,CGU4014
7967786385,KUM 150
5997162104,257-AFM
1487391158,0ZLD 20
2546797455,9ND 607
7595560145,60B H04
9876465884,RK-4506
4012915395,UJN-843
2303564684,HYK 366
4932089967,MBR 586
4932820612,3TD 621
5566286209,938 QHJ
9286293005,122 FYK
8356732001,760-MKBU
9926144611,465-HCJ
9575754613,267 JQV
7856208707,7UYR078
6064194711,052 1561
1476992639,O 923797
4648159575,LGN-1306
7528627015,846 4924
5948807290,374 TK2
6373682386,E55 3KP
5022233691,VN 90470
883631466,U95-83Z
476170832,AQL4744
8796604725,502-XPD
3263271429,N24 2SO
9138367757,693M
8665505928,PV5 4900
2789420264,1-89256
1858983270,8C 7R6MFX
7473551270,BEB1897
6142671172,9-30884
884844920,15Y 823
2894713422,IUM 377
3422253034,ORA-886
2452892844,226 0FR
2578130768,FR0 2492
1159738206,5Z 7I0WSV
6393833308,929-XJT
6371094633,D 548591
335669174,6-89908
6830340144,5OR T08
2461250409,8SWU 92
6074985303,Q18 0AF
180019321,0S A1011
9486924781,VJY 943
9085377153,UDT 336
7577536311,XKG-9136
8473725481,7-Q9517
8501017618,574-AOZ
2733625201,GTB 435
2259767954,0IB 803
7276364644,RFL-2957
3530133295,M19-91N
5262035914,3QB45
2421418534,0-Z0625
1251818586,6127
9976367840,YEA-468
6498661786,6XX 116
6610414206,4-46616N
4825420472,9ZO P33
2370991386,TBD-688
379817950,LJU S70
787565187,3-13562X
1804154393,623 5388
7526293725,MAS-641
5026093530,FTF-8420
7361665685,Z44 3DF
8522013978,SUR 995
7160146,7BP 881
3839557577,0B E6144
8882947224,1BQ 169
9798775759,370-AMF
965270194,75LM5
4374363265,NLB-4427
126192716,416 YTP
