violation_id,license_number,license_plate
9068USLR,1459716828,9Z512
0659DUWY,58959772,727 JGD
3051JAUH,4528930905,2LU 363
2959FNMR,1466699002,CFZ-382
0671BNMM,8338410957,072 4QK
9050DPSZ,6997303792,BJ6 Y7V
2292PZFD,5081036892,566 JNB
9662PQMH,420783266,QSH-5559
0555KZDH,6103775793,759-HKD
5788TEWX,2429545014,FQS4118
0238OTKQ,4676274503,0U 0335S
8482CESG,8088856438,QDM-2037
6070UMKH,3930469445,RIU 090
1726UEUU,1772392824,CGU4014
7254JYLZ,7967786385,KUM 150
6731ZVRX,5997162104,257-AFM
1535HBLH,1487391158,0ZLD 20
3349ZIAK,2546797455,9ND 607
7625FOSQ,7595560145,60B H04
2413CPXZ,9876465884,RK-4506
2629IBDZ,4012915395,UJN-843
8048YWRO,2303564684,HYK 366
9326PSIW,4932089967,MBR 586
9407AZSX,4932820612,3TD 621
3777TOSQ,5566286209,938 QHJ
4019LVIF,9286293005,122 FYK
8045WWCM,8356732001,760-MKBU
3845FPGE,9926144611,465-HCJ
0461YBIT,9575754613,267 JQV
1893JVVW,7856208707,7UYR078
4091YQNW,6064194711,052 1561
2290KXVE,1476992639,O 923797
3616CYGA,4648159575,LGN-1306
9974TYBR,7528627015,846 4924
1413TYSR,5948807290,374 TK2
1562RIFC,6373682386,E55 3KP
7404DNVC,5022233691,VN 90470
9068USLR,883631466,U95-83Z
0659DUWY,476170832,AQL4744
4901PXJJ,8796604725,502-XPD
0671BNMM,3263271429,N24 2SO
2292PZFD,9138367757,693M
9662PQMH,8665505928,PV5 4900
0555KZDH,2789420264,1-89256
5788TEWX,1858983270,8C 7R6MFX
0238OTKQ,7473551270,BEB1897
8482CESG,6142671172,9-30884
1726UEUU,884844920,15Y 823
6731ZVRX,2894713422,IUM 377
1535HBLH,3422253034,ORA-886
3349ZIAK,2452892844,226 0FR
7625FOSQ,2578130768,FR0 2492
2413CPXZ,1159738206,5Z 7I0WSV
2374RNRL,6393833308,929-XJT
2629IBDZ,6371094633,D 548591
7579YDEH,335669174,6-89908
8048YWRO,6830340144,5OR T08
9326PSIW,2461250409,8SWU 92
9407AZSX,6074985303,Q18 0AF
3777TOSQ,180019321,0S A1011
9175MPUE,9486924781,VJY 943
4019LVIF,9085377153,UDT 336
8045WWCM,7577536311,XKG-9136
3845FPGE,8473725481,7-Q9517
0461YBIT,8501017618,574-AOZ
1893JVVW,2733625201,GTB 435
4091YQNW,2259767954,0IB 803
3895PLZD,7276364644,RFL-2957
2290KXVE,3530133295,M19-91N
3616CYGA,5262035914,3QB45
9974TYBR,2421418534,0-Z0625
1413TYSR,1251818586,6127
7404DNVC,9976367840,YEA-468
2065PCXC,6498661786,6XX 116
9068USLR,6610414206,4-46616N
0659DUWY,4825420472,9ZO P33
3051JAUH,2370991386,TBD-688
0671BNMM,379817950,LJU S70
9050DPSZ,787565187,3-13562X
2292PZFD,1804154393,623 5388
9662PQMH,7526293725,MAS-641
5788TEWX,5026093530,FTF-8420
8482CESG,7361665685,Z44 3DF
6731ZVRX,8522013978,SUR 995
3349ZIAK,7160146,7BP 881
7625FOSQ,3839557577,0B E6144
2413CPXZ,8882947224,1BQ 169
2374RNRL,9798775759,370-AMF
2629IBDZ,965270194,75LM5
7579YDEH,4374363265,NLB-4427
8048YWRO,126192716,416 YTP
9326PSIW,1810788575,5K 8L0QYM
9407AZSX,4025235663,7YM4070
3777TOSQ,7702084276,LNY3441
9175MPUE,732776564,2-61359G
4019LVIF,8708228336,36D JT4
8045WWCM,7133693442,ZZR 318
1893JVVW,130597914,767 PJE
4091YQNW,279405538,QCY 464
3895PLZD,1152340118,OQE N74
5057WCLD,3379040124,74Y M17
2290KXVE,2999591912,1S XY951
3616CYGA,5465674670,HSZ-6396
9974TYBR,5862567248,XY1 2439
1562RIFC,5235392775,LYS 352
5991PXCD,3378571562,26A W31
7404DNVC,2403811561,13I L66
1359XNKA,4146207898,04-J541
2065PCXC,88755701,T99-KBC
3491QDIE,8857634189,68-1035A
6580GSFC,864035941,189 HFU
9068USLR,9450326055,41CU041
0659DUWY,774018388,2C 67350
3051JAUH,1131481063,28033
4901PXJJ,9454182811,8BMP479
0671BNMM,2400834682,GRE-025
9050DPSZ,322630381,1-L0164
2292PZFD,9439906248,GDZ0926
9662PQMH,9444920339,2V139
0555KZDH,7311757212,694 VZ3
5788TEWX,3294114737,4961 IV
0238OTKQ,5935103349,WLQ-8090
8482CESG,6200017793,5UQ 943
6070UMKH,7410093140,44-HC56
6731ZVRX,9822909160,4WEJ 70
3349ZIAK,1459716828,401AW
7625FOSQ,58959772,53-N511
2413CPXZ,9276619450,LYP 869
7579YDEH,1466699002,F08 4EV
8048YWRO,913536434,LKB 959
9326PSIW,420783266,QB-6655
3777TOSQ,3642508404,THX 215
9175MPUE,941216632,5M DX778
4019LVIF,8707151370,2S 9Q8TCY
8045WWCM,6330409863,1MUT 21
3845FPGE,7293373731,KGN 691
0461YBIT,8381437774,96QA623
1893JVVW,8299278290,TIX-774
4091YQNW,3930469445,ICQ 879
3895PLZD,5625375383,DUQ4085
5433QFAY,4838095613,JHM-238
5057WCLD,2910680909,3VN45
2290KXVE,7595560145,SZU 900
9974TYBR,9876465884,0UB5012
1413TYSR,2078972523,225 JCO
1562RIFC,2939791739,226 WWG
5991PXCD,4012915395,75U V05
1359XNKA,2303564684,CDC-924
9068USLR,4932820612,YW 21591
0659DUWY,5566286209,CBQ4730
3051JAUH,3195507526,2K TJ446
4901PXJJ,470582014,LDC6930
2959FNMR,1342108625,DST 217
9050DPSZ,1880381729,1DJ X06
2292PZFD,7775650608,RQQ 703
0555KZDH,7856208707,568 BOL
5788TEWX,2207904355,NIP-6327
8482CESG,3655765005,894KK
6070UMKH,448952745,BEE 770
1726UEUU,5948807290,XX8 T1G
7254JYLZ,476170832,HCI 343
1535HBLH,8796604725,511 RWL
3349ZIAK,3263271429,15-HM06
7625FOSQ,6142671172,8-86297P
2413CPXZ,884844920,4AB0480
2374RNRL,2894713422,574 JIM
2629IBDZ,6393833308,7925 VH
7579YDEH,6371094633,32N G07
8048YWRO,7787343294,6PR 858
9326PSIW,2461250409,672 5MR
